feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,outcome
spring,25,no,yes,yes,0,4,0,14,N
spring,34,yes,no,yes,0,4,1,5,O
spring,18,yes,no,no,0,5,-1,8,N
spring,27,no,yes,yes,0,5,-1,6,N
spring,24,yes,yes,no,0,4,-1,8,O
spring,24,yes,no,yes,0,4,0,8,N
spring,24,no,no,no,-1,4,-1,7,N
spring,36,yes,yes,yes,0,3,-1,6,N
fall,23,no,no,yes,0,4,-1,4,N
fall,22,yes,no,no,0,5,-1,4,N
fall,24,yes,yes,no,-1,4,0,5,N
fall,28,yes,yes,yes,0,3,0,2,N
fall,27,yes,yes,yes,0,4,1,4,N
fall,29,yes,no,no,0,5,-1,6,N
fall,34,yes,yes,yes,0,1,-1,4,N
fall,29,yes,yes,no,0,5,1,8,N
fall,23,yes,no,yes,0,5,-1,6,N
fall,25,yes,no,yes,0,4,-1,4,O
fall,27,yes,yes,yes,0,5,1,4,N
fall,24,yes,no,no,0,4,1,6,O
fall,24,no,no,yes,0,4,-1,4,N
fall,27,yes,no,no,0,3,0,4,N
fall,24,yes,yes,no,0,4,-1,4,N
fall,25,yes,no,yes,-1,5,-1,7,O
fall,20,yes,no,yes,0,5,-1,10,N
fall,24,yes,no,no,0,5,-1,4,N
fall,24,yes,no,yes,0,3,-1,6,O
fall,28,yes,yes,no,1,3,-1,6,O
fall,21,no,no,yes,0,5,-1,3,N
fall,24,no,no,yes,0,3,0,8,O
fall,22,yes,no,yes,0,5,-1,10,N
fall,20,yes,no,no,0,5,-1,7,N
fall,23,no,no,no,0,5,-1,10,N
fall,21,yes,yes,yes,0,4,0,7,N
fall,20,yes,yes,yes,0,5,-1,10,N
winter,28,yes,yes,no,1,3,-1,6,N
winter,28,yes,no,yes,0,5,-1,4,N
winter,20,yes,no,yes,0,5,-1,10,N
winter,24,no,no,yes,0,3,0,8,O
winter,25,yes,no,no,0,5,-1,5,N
winter,19,yes,yes,yes,0,4,1,8,N
winter,20,yes,yes,no,0,4,1,8,N
winter,21,yes,no,yes,-1,4,1,8,N
winter,20,yes,no,no,0,5,-1,7,N
winter,19,yes,yes,no,1,5,0,5,N
winter,19,yes,no,no,1,5,0,7,N
spring,20,yes,no,no,0,5,-1,10,N
spring,26,yes,yes,no,0,3,1,3,N
spring,23,yes,yes,yes,0,4,-1,5,N
spring,27,yes,yes,yes,0,3,-1,3,N
spring,24,yes,no,yes,0,4,-1,3,N
spring,19,yes,yes,no,1,5,-1,12,N
spring,19,yes,yes,no,0,4,0,8,N
spring,21,yes,yes,yes,-1,4,0,3,N
spring,22,yes,no,yes,0,5,-1,10,N
spring,21,yes,no,yes,0,4,1,3,N
spring,19,yes,yes,no,0,4,0,12,N
spring,25,yes,yes,yes,-1,5,-1,12,N
spring,20,yes,yes,no,0,2,1,10,N
fall,21,no,no,no,1,4,1,7,N
fall,20,no,no,no,1,4,0,16,N
winter,23,yes,no,no,1,5,1,4,N
winter,22,yes,yes,yes,0,3,-1,6,N
winter,20,yes,no,no,1,5,-1,8,N
winter,19,yes,no,no,1,4,-1,5,N
spring,20,no,no,yes,0,5,-1,9,N
spring,18,yes,yes,no,-1,4,0,14,N
spring,18,yes,no,no,1,5,-1,8,N
spring,18,yes,no,no,1,4,0,5,N
spring,18,yes,no,yes,-1,4,-1,8,N
spring,18,yes,yes,no,-1,4,0,14,O
summer,25,yes,no,no,1,5,-1,5,N
fall,20,yes,no,no,1,3,0,8,N
winter,18,yes,no,no,1,4,-1,7,N
winter,19,yes,no,no,1,4,-1,10,N
winter,28,yes,no,yes,1,5,1,4,N
winter,27,yes,no,yes,1,3,0,9,N
winter,26,yes,yes,yes,1,4,-1,3,N
winter,19,yes,yes,no,1,4,-1,6,N
winter,36,yes,no,yes,1,3,0,4,N
spring,33,yes,yes,no,1,5,-1,10,N
winter,29,yes,yes,yes,1,4,0,3,N
spring,33,yes,no,no,1,3,-1,3,N
spring,31,yes,yes,yes,1,5,-1,4,N
spring,28,yes,no,no,1,5,1,1,O
spring,32,yes,yes,no,0,3,1,5,N
spring,27,yes,yes,yes,0,3,1,4,N
spring,27,yes,yes,yes,1,4,1,4,N
spring,30,yes,yes,yes,0,5,-1,5,N
spring,29,yes,yes,yes,0,5,1,6,N
spring,29,yes,yes,yes,1,4,-1,6,N
summer,28,yes,no,no,0,5,1,1,N
summer,27,yes,yes,no,0,4,-1,6,N
summer,27,yes,no,yes,0,4,-1,7,O
fall,21,yes,no,no,0,3,1,8,N
winter,24,yes,no,no,0,5,-1,8,N
winter,22,yes,no,no,0,4,0,8,N
winter,24,yes,yes,yes,0,5,-1,5,N
winter,23,yes,no,yes,0,5,0,3,N
winter,25,no,yes,yes,0,3,-1,3,N
